experiment_id,title,design_text,tags,description_template
EXP-001,Sorry I Can't I Have Plans With My Dog T-Shirt | Mom Appreciation | Dog Moms,Sorry I Can't I Have Plans With My Dog,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-002,Walks Snacks Repeat - Thank You T-Shirt | Mom Appreciation | Dog Moms,Walks Snacks Repeat - Thank You,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-003,Home is Where My Dog Is T-Shirt | Mom Appreciation | Dog Moms,Home is Where My Dog Is,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-004,Vintage Dog Mom Energy T-Shirt | Gift for Mom | Dog Moms,Vintage Dog Mom Energy,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-005,Pawsitively Tired (Barely) T-Shirt | Mom Appreciation | Dog Moms,Pawsitively Tired (Barely),mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-006,Custom Name Rescued is My Favorite Breed T-Shirt | Mom Appreciation | Dog Moms,Custom Name Rescued is My Favorite Breed,mothers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-007,Sorry I Can't I Have Plans With My Dog Mug | Gift for Mom | Dog Moms,Sorry I Can't I Have Plans With My Dog,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-008,Home is Where My Dog Is - Thank You Mug | Mother's Day Gift | Dog Moms,Home is Where My Dog Is - Thank You,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-009,Pawsitively Tired Mug | Mother's Day Gift | Dog Moms,Pawsitively Tired,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-010,Vintage Rescued is My Favorite Breed Mug | Gift for Mom | Dog Moms,Vintage Rescued is My Favorite Breed,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-011,Rescued is My Favorite Breed (Barely) Mug | Mother's Day Gift | Dog Moms,Rescued is My Favorite Breed (Barely),mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-012,Custom Name Rescued is My Favorite Breed Mug | Mom Appreciation | Dog Moms,Custom Name Rescued is My Favorite Breed,mothers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-013,Dog Hair Don't Care Sticker | Gift for Mom | Dog Moms,Dog Hair Don't Care,mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-014,Home is Where My Dog Is - Thank You Sticker | Gift for Mom | Dog Moms,Home is Where My Dog Is - Thank You,mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-015,Fueled by Coffee and Dog Kisses Sticker | Gift for Mom | Dog Moms,Fueled by Coffee and Dog Kisses,mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-016,Vintage Pawsitively Tired Sticker | Mother's Day Gift | Dog Moms,Vintage Pawsitively Tired,mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-017,Dog Hair Don't Care (Barely) Sticker | Mom Appreciation | Dog Moms,Dog Hair Don't Care (Barely),mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-018,Custom Name Walks Snacks Repeat Sticker | Gift for Mom | Dog Moms,Custom Name Walks Snacks Repeat,mothers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Mothers Day. Designed for gifting.
EXP-019,Walks Snacks Repeat T-Shirt | Gift for Dad | Dog Moms,Walks Snacks Repeat,fathers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-020,Home is Where My Dog Is - Thank You T-Shirt | Dad Humor | Dog Moms,Home is Where My Dog Is - Thank You,fathers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-021,Fueled by Coffee and Dog Kisses T-Shirt | Dad Humor | Dog Moms,Fueled by Coffee and Dog Kisses,fathers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-022,Vintage Dog Hair Don't Care T-Shirt | Gift for Dad | Dog Moms,Vintage Dog Hair Don't Care,fathers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-023,Walks Snacks Repeat (Barely) T-Shirt | Dad Humor | Dog Moms,Walks Snacks Repeat (Barely),fathers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-024,Custom Name Walks Snacks Repeat T-Shirt | Gift for Dad | Dog Moms,Custom Name Walks Snacks Repeat,fathers day|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-025,Pawsitively Tired Mug | Dad Humor | Dog Moms,Pawsitively Tired,fathers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-026,Fueled by Coffee and Dog Kisses - Thank You Mug | Dad Humor | Dog Moms,Fueled by Coffee and Dog Kisses - Thank You,fathers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-027,Pawsitively Tired Mug | Father's Day Gift | Dog Moms,Pawsitively Tired,fathers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-028,Vintage Pawsitively Tired Mug | Dad Humor | Dog Moms,Vintage Pawsitively Tired,fathers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-029,Pawsitively Tired (Barely) Mug | Dad Humor | Dog Moms,Pawsitively Tired (Barely),fathers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-030,Custom Name Walks Snacks Repeat Mug | Dad Humor | Dog Moms,Custom Name Walks Snacks Repeat,fathers day|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-031,Fueled by Coffee and Dog Kisses Sticker | Father's Day Gift | Dog Moms,Fueled by Coffee and Dog Kisses,fathers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-032,Fueled by Coffee and Dog Kisses - Thank You Sticker | Dad Humor | Dog Moms,Fueled by Coffee and Dog Kisses - Thank You,fathers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-033,Fueled by Coffee and Dog Kisses Sticker | Dad Humor | Dog Moms,Fueled by Coffee and Dog Kisses,fathers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-034,Vintage My Dog is My Favorite Child Sticker | Dad Humor | Dog Moms,Vintage My Dog is My Favorite Child,fathers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-035,Best Dog Mom Ever (Barely) Sticker | Father's Day Gift | Dog Moms,Best Dog Mom Ever (Barely),fathers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-036,Custom Name My Dog is My Favorite Child Sticker | Father's Day Gift | Dog Moms,Custom Name My Dog is My Favorite Child,fathers day|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Fathers Day. Designed for gifting.
EXP-037,Pawsitively Tired T-Shirt | New Grad | Dog Moms,Pawsitively Tired,graduation|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Graduation. Designed for gifting.
EXP-038,Walks Snacks Repeat - Thank You T-Shirt | Class of 2026 | Dog Moms,Walks Snacks Repeat - Thank You,graduation|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Graduation. Designed for gifting.
EXP-039,Home is Where My Dog Is T-Shirt | Graduation Gift | Dog Moms,Home is Where My Dog Is,graduation|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Graduation. Designed for gifting.
EXP-040,Vintage Dog Mom Energy T-Shirt | New Grad | Dog Moms,Vintage Dog Mom Energy,graduation|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Graduation. Designed for gifting.
EXP-041,My Dog is My Favorite Child (Barely) T-Shirt | Class of 2026 | Dog Moms,My Dog is My Favorite Child (Barely),graduation|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Graduation. Designed for gifting.
EXP-042,Custom Name My Dog is My Favorite Child T-Shirt | Class of 2026 | Dog Moms,Custom Name My Dog is My Favorite Child,graduation|dog moms|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for dog moms fans. Great for Graduation. Designed for gifting.
EXP-043,Pawsitively Tired Mug | Graduation Gift | Dog Moms,Pawsitively Tired,graduation|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Graduation. Designed for gifting.
EXP-044,My Dog is My Favorite Child - Thank You Mug | Graduation Gift | Dog Moms,My Dog is My Favorite Child - Thank You,graduation|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Graduation. Designed for gifting.
EXP-045,Sorry I Can't I Have Plans With My Dog Mug | New Grad | Dog Moms,Sorry I Can't I Have Plans With My Dog,graduation|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Graduation. Designed for gifting.
EXP-046,Vintage My Dog is My Favorite Child Mug | Class of 2026 | Dog Moms,Vintage My Dog is My Favorite Child,graduation|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Graduation. Designed for gifting.
EXP-047,Fueled by Coffee and Dog Kisses (Barely) Mug | Graduation Gift | Dog Moms,Fueled by Coffee and Dog Kisses (Barely),graduation|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Graduation. Designed for gifting.
EXP-048,Custom Name Fueled by Coffee and Dog Kisses Mug | New Grad | Dog Moms,Custom Name Fueled by Coffee and Dog Kisses,graduation|dog moms|mug|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality mug for dog moms fans. Great for Graduation. Designed for gifting.
EXP-049,Dog Hair Don't Care Sticker | Class of 2026 | Dog Moms,Dog Hair Don't Care,graduation|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Graduation. Designed for gifting.
EXP-050,Pawsitively Tired - Thank You Sticker | Graduation Gift | Dog Moms,Pawsitively Tired - Thank You,graduation|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Graduation. Designed for gifting.
EXP-051,Dog Hair Don't Care Sticker | New Grad | Dog Moms,Dog Hair Don't Care,graduation|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Graduation. Designed for gifting.
EXP-052,Vintage Fueled by Coffee and Dog Kisses Sticker | New Grad | Dog Moms,Vintage Fueled by Coffee and Dog Kisses,graduation|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Graduation. Designed for gifting.
EXP-053,Dog Hair Don't Care (Barely) Sticker | Graduation Gift | Dog Moms,Dog Hair Don't Care (Barely),graduation|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Graduation. Designed for gifting.
EXP-054,Custom Name Dog Mom Energy Sticker | Class of 2026 | Dog Moms,Custom Name Dog Mom Energy,graduation|dog moms|sticker|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality sticker for dog moms fans. Great for Graduation. Designed for gifting.
EXP-055,Teach Love Inspire T-Shirt | Gift for Mom | Teachers,Teach Love Inspire,mothers day|teachers|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for teachers fans. Great for Mothers Day. Designed for gifting.
EXP-056,Teach Love Inspire - Thank You T-Shirt | Mother's Day Gift | Teachers,Teach Love Inspire - Thank You,mothers day|teachers|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for teachers fans. Great for Mothers Day. Designed for gifting.
EXP-057,Coffee Teach Repeat T-Shirt | Mom Appreciation | Teachers,Coffee Teach Repeat,mothers day|teachers|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for teachers fans. Great for Mothers Day. Designed for gifting.
EXP-058,Vintage Tiny Humans Big Job T-Shirt | Mom Appreciation | Teachers,Vintage Tiny Humans Big Job,mothers day|teachers|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for teachers fans. Great for Mothers Day. Designed for gifting.
EXP-059,Teaching is My Superpower (Barely) T-Shirt | Mother's Day Gift | Teachers,Teaching is My Superpower (Barely),mothers day|teachers|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for teachers fans. Great for Mothers Day. Designed for gifting.
EXP-060,Custom Name Teach Them Love Them Watch Them Grow T-Shirt | Mother's Day Gift | Teachers,Custom Name Teach Them Love Them Watch Them Grow,mothers day|teachers|t-shirt|gift idea|funny gift|custom gift|family gift|holiday gift|cute|trend|retro|minimalist|sarcastic,High-quality t-shirt for teachers fans. Great for Mothers Day. Designed for gifting.
